epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18359,0.26576,0.56409,0.89224,0.88993,0.91118,0.96956,0.90971,0.3803,0.69921,0.93548,6.9264e-05,6.9264e-05,6.9264e-05
42,18793.1,0.25025,0.51031,0.87051,0.89911,0.89718,0.96825,0.90819,0.36181,0.72523,0.92301,6.26706e-05,6.26706e-05,6.26706e-05
43,19224.8,0.24238,0.49151,0.86404,0.89249,0.92737,0.9705,0.91624,0.35339,0.67685,0.91477,5.60772e-05,5.60772e-05,5.60772e-05
44,19658.8,0.24113,0.47978,0.87579,0.91695,0.90797,0.96388,0.90365,0.35558,0.67883,0.92862,4.94838e-05,4.94838e-05,4.94838e-05
45,20104.8,0.23776,0.46846,0.87089,0.91109,0.93229,0.97028,0.90268,0.36528,0.6633,0.92516,4.28904e-05,4.28904e-05,4.28904e-05
46,20553.9,0.22578,0.4622,0.85637,0.92564,0.8859,0.97095,0.91022,0.36251,0.65028,0.93714,3.6297e-05,3.6297e-05,3.6297e-05
47,21000.8,0.21958,0.44872,0.84732,0.89882,0.94006,0.96995,0.90719,0.36263,0.64623,0.93294,2.97036e-05,2.97036e-05,2.97036e-05
48,21443.9,0.2174,0.44287,0.84705,0.91939,0.90379,0.96092,0.90204,0.35708,0.64644,0.93373,2.31102e-05,2.31102e-05,2.31102e-05
49,21885.8,0.21082,0.439,0.85071,0.92711,0.89886,0.97092,0.91052,0.35572,0.63363,0.9318,1.65168e-05,1.65168e-05,1.65168e-05
50,22331.3,0.21374,0.42978,0.84701,0.90657,0.93127,0.9702,0.90877,0.34732,0.61607,0.93256,9.9234e-06,9.9234e-06,9.9234e-06
